ticket,filename,path,size,date,author,description,status
43,OmcCrash.zip,ticket/43/OmcCrash.zip,1348,2005-11-15 12:25:08,x05elmja,The java program that triggers the accertion failure.,ok
43,omc-runtime-error-dialog.png,ticket/43/omc-runtime-error-dialog.png,8953,2005-11-15 12:20:49,x05elmja,screen shot of the error dialog,ok
52,Mathematical Aspects.zip,ticket/52/Mathematical Aspects.zip,695892,2007-02-12 10:53:25,bernhard.bachmann,Tutorial: Mathematical Aspects ...,ok
107,PackagesandExamples.onb,ticket/107/PackagesandExamples.onb,74625,2007-02-19 12:20:51,miguel.prada.sarasola,omnotebook file,ok
108,PackagesandExamples.onb,ticket/108/PackagesandExamples.onb,70889,2007-02-15 12:49:11,miguel.prada.sarasola,OMNotebook file with case simulation,ok
108,PackagesandExamples2.onb,ticket/108/PackagesandExamples2.onb,74625,2007-02-19 12:21:49,miguel.prada.sarasola,omnotebook file,ok
111,PackagesandExamples.onb,ticket/111/PackagesandExamples.onb,74625,2007-02-19 12:55:21,miguel.prada.sarasola,omnotebook file,ok
115,Control.mo,ticket/115/Control.mo,24212,2007-03-02 17:00:50,miguel.prada.sarasola,model for SpeedTrapezium,ok
115,bug.onb,ticket/115/bug.onb,13256,2007-03-02 17:00:04,miguel.prada.sarasola,OMN file,ok
116,Control.mo,ticket/116/Control.mo,25616,2007-03-06 15:03:42,miguel.prada.sarasola,modelica models,ok
116,bug.onb,ticket/116/bug.onb,5135,2007-03-06 15:02:57,miguel.prada.sarasola,omn file,ok
117,erraticsampling.onb,ticket/117/erraticsampling.onb,8181,2007-03-06 17:34:36,miguel.prada.sarasola,omn file,ok
125,PulseError.zip,ticket/125/PulseError.zip,438051,2007-05-22 11:05:28,Wilhelm.Medetz,Project file (zipped) to reproduce the error,ok
125,plot.png,ticket/125/plot.png,11028,2007-05-22 11:06:49,Wilhelm.Medetz,Results Plot,ok
128,TestInit.mo,ticket/128/TestInit.mo,1574,2007-11-07 14:36:38,casella,Test Modelica file,ok
130,SimpleFluid.mo,ticket/130/SimpleFluid.mo,13517,2007-11-07 15:29:41,casella,Modelica package with test cases,ok
131,SimpleFluid.mo,ticket/131/SimpleFluid.mo,13509,2007-11-07 15:40:33,casella,Modelica package with test cases,ok
132,TestPackageInheritance.mo,ticket/132/TestPackageInheritance.mo,1561,2007-11-07 16:14:31,casella,Modelica package with test cases,ok
136,test.mo,ticket/136/test.mo,130,2007-12-26 11:52:26,cbelyaev,Sample of transposing issue,ok
137,Output.zip,ticket/137/Output.zip,5457,2008-01-10 16:06:49,casella,Zip file with Modelica package SimpleFluid,ok
143,InteractiveBuildModel.patch,ticket/143/InteractiveBuildModel.patch,1261,2008-01-16 12:33:15,cbelyaev,Fix,ok
144,bugTrapez.onb,ticket/144/bugTrapez.onb,14990,2008-01-18 15:26:21,ppriv,OMNotebook file to reproduce the bug.,ok
146,Func.c,ticket/146/Func.c,247,2008-02-04 15:37:26,cbelyaev,Sample external C function code,size-differs
146,Func.h,ticket/146/Func.h,69,2008-02-04 15:37:05,cbelyaev,Sample external C function header,size-differs
146,codegen.mo.patch,ticket/146/codegen.mo.patch,2203,2008-02-04 15:36:06,cbelyaev,Patch,ok
146,matrix.mo,ticket/146/matrix.mo,294,2008-02-04 15:37:45,cbelyaev,Testcase,ok
146,matrix.mos,ticket/146/matrix.mos,149,2008-02-04 15:38:08,cbelyaev,Testcase script,ok
1002,MatrixTest14x29.mo,ticket/1002/MatrixTest14x29.mo,1181,2008-02-20 21:18:29,cbelyaev,,ok
1005,DiodeTest.mo,ticket/1005/DiodeTest.mo,1610,2008-03-06 12:46:19,ppriv,,ok
1005,DiodeTestVoltSource.mo,ticket/1005/DiodeTestVoltSource.mo,1610,2008-03-06 17:50:37,ppriv,"Actually this is the model, I'd like to work.",ok
1005,rectifier.mo,ticket/1005/rectifier.mo,2957,2008-03-13 08:17:33,haklu,Model including diods that work.,ok
1007,MediaExamples.mo,ticket/1007/MediaExamples.mo,16439,2008-03-18 18:02:34,donida,,ok
1011,main.mo,ticket/1011/main.mo,1678,2008-05-09 23:46:32,yadaniel,,ok
1012,correct.png,ticket/1012/correct.png,10943,2008-05-26 01:58:28,adrpo,Correct output after bug was fixed.,ok
1012,incorrect.png,ticket/1012/incorrect.png,9479,2008-05-25 21:24:04,adrpo,,ok
1015,ResetIntegrator.mo,ticket/1015/ResetIntegrator.mo,1062,2008-09-03 15:00:55,donida,,ok
1018,compile-omc-r3682.log,ticket/1018/compile-omc-r3682.log,916,2008-10-10 20:30:09,dietmarw,Error message failing compilation of omc.,ok
1028,br3ph1.mo,ticket/1028/br3ph1.mo,1546,2008-12-08 21:39:24,prao,,ok
1028,output.log,ticket/1028/output.log,249,2008-12-08 21:39:24,prao,,ok
1030,compile-omc-r3807.log,ticket/1030/compile-omc-r3807.log,80726,2009-01-21 17:39:48,dietmarw,,ok
1030,compile-omc-r3807_newMico.log,ticket/1030/compile-omc-r3807_newMico.log,94507,2009-01-22 18:15:59,dietmarw,compilation log with newly compiled mico,ok
1033,notebook.cpp.vc.diff,ticket/1033/notebook.cpp.vc.diff,876,2009-02-13 20:29:15,dietmarw,,ok
1035,OpenModelica-1.4.5-build_fixes.patch,ticket/1035/OpenModelica-1.4.5-build_fixes.patch,12383,2009-03-10 03:20:08,ebo,"The attached files are gentoo (portage) ebuilds for version 1.4.5 and a live SVN version.  These are really rough, but appear to work.    I would like you to review the changes in OpenModelica-1.4.5-build_fixes.patch for general inclusion back into the source tree.  Thanks and best regards,    EBo --",ok
1035,OpenModelica-1.4.5.ebuild,ticket/1035/OpenModelica-1.4.5.ebuild,4609,2009-03-10 03:20:08,ebo,"The attached files are gentoo (portage) ebuilds for version 1.4.5 and a live SVN version.  These are really rough, but appear to work.    I would like you to review the changes in OpenModelica-1.4.5-build_fixes.patch for general inclusion back into the source tree.  Thanks and best regards,    EBo --",ok
